algorithm,mpi_processes,omp_threads,nodes,edges,per_iter_times,avg_time,min_time,max_time,speedup_vs_seq,efficiency
OpenMP-static,NA,4,500000,2500000,0.253107|0.406687|0.409182|0.390831|0.319240,0.355809,0.253107,0.409182,0,0
OpenMP-dynamic,NA,4,500000,2500000,0.213099|0.204038|0.327373|0.226898|0.181216,0.230525,0.181216,0.327373,0,0
OpenMP-guided,NA,4,500000,2500000,0.188320|0.181694|0.188931|0.194176|0.191379,0.1889,0.181694,0.194176,0,0
OpenMP-static,NA,8,500000,2500000,0.217306|0.207852|0.229085|0.215126|0.223111,0.218496,0.207852,0.229085,0,0
OpenMP-dynamic,NA,8,500000,2500000,0.155945|0.151682|0.156100|0.164976|0.148799,0.1555,0.148799,0.164976,0,0
OpenMP-guided,NA,8,500000,2500000,0.177069|0.163550|0.238229|0.232675|0.198414,0.201987,0.16355,0.238229,0,0
MPI,1,NA,500000,2500000,0.446408|0.503688|0.637742|0.685247|0.582728,0.571163,0.446408,0.685247,0,0
MPI,2,NA,500000,2500000,0.460375|0.456139|0.603878|0.526499|0.484679,0.506314,0.456139,0.603878,0,0
MPI,4,NA,500000,2500000,0.545869|0.580976|0.489875|0.493820|0.483239,0.518756,0.483239,0.580976,0,0
MPI,8,NA,500000,2500000,0.888283|0.747558|0.725187|0.733027|0.737919,0.766395,0.725187,0.888283,0,0
